price,location,detail
190 000AZN,28 May m.,2 otaqlı67 m²15/16 mərtəbə
395 000AZN,Nəsimi r.,3 otaqlı145.1 m²12/21 mərtəbə
220 000AZN,Nərimanov r.,2 otaqlı60 m²7/11 mərtəbə
315 000AZN,8-ci mikrorayon q.,3 otaqlı138 m²8/16 mərtəbə
210 000AZN,Nəriman Nərimanov m.,2 otaqlı54 m²7/16 mərtəbə
390 000AZN,8 Noyabr m.,4 otaqlı160 m²12/17 mərtəbə
360 000AZN,Nərimanov r.,4 otaqlı200 m²15/19 mərtəbə
225 000AZN,28 May m.,1 otaqlı45 m²5/22 mərtəbə
127 000AZN,Həzi Aslanov m.,2 otaqlı55 m²9/17 mərtəbə
240 000AZN,20 Yanvar m.,3 otaqlı130 m²3/16 mərtəbə
383 000AZN,8 Noyabr m.,4 otaqlı165.4 m²17/21 mərtəbə
217 740AZN,Yasamal q.,3 otaqlı114.6 m²3/14 mərtəbə
565 000AZN,28 May m.,4 otaqlı184 m²7/22 mərtəbə
550 000AZN,Səbail r.,6 otaqlı176 m²4/4 mərtəbə
190 000AZN,Azadlıq Prospekti m.,2 otaqlı75 m²7/16 mərtəbə
267 000AZN,Xətai r.,3 otaqlı126 m²6/19 mərtəbə
410 000AZN,Elmlər Akademiyası m.,3 otaqlı148 m²13/27 mərtəbə
315 000AZN,Gənclik m.,2 otaqlı110 m²3/17 mərtəbə
157 000AZN,Memar Əcəmi m.,3 otaqlı80 m²2/9 mərtəbə
240 000AZN,İçəri Şəhər m.,3 otaqlı70 m²3/3 mərtəbə
340 000AZN,8 Noyabr m.,3 otaqlı100 m²6/16 mərtəbə
220 000AZN,8 Noyabr m.,2 otaqlı94 m²10/17 mərtəbə
170 000AZN,Əhmədli m.,3 otaqlı85 m²4/17 mərtəbə
220 000AZN,20 Yanvar m.,3 otaqlı75 m²8/20 mərtəbə
175 000AZN,Əhmədli q.,3 otaqlı78 m²8/9 mərtəbə
167 000AZN,Şah İsmayıl Xətai m.,2 otaqlı61 m²6/17 mərtəbə
260 000AZN,8 Noyabr m.,3 otaqlı104 m²15/18 mərtəbə
71 300AZN,Binəqədi q.,2 otaqlı59 m²3/4 mərtəbə
415 000AZN,Nəriman Nərimanov m.,3 otaqlı150 m²4/12 mərtəbə
295 000AZN,Bayıl q.,2 otaqlı66 m²4/16 mərtəbə
375 000AZN,Nəsimi r.,4 otaqlı185 m²11/17 mərtəbə
175 000AZN,8 Noyabr m.,3 otaqlı100 m²19/19 mərtəbə
518 000AZN,Xətai r.,3 otaqlı157 m²14/20 mərtəbə
283 000AZN,Azadlıq Prospekti m.,4 otaqlı153 m²7/16 mərtəbə
285 000AZN,Yasamal r.,3 otaqlı181 m²10/21 mərtəbə
263 000AZN,Xətai r.,2 otaqlı63 m²14/20 mərtəbə
330 000AZN,Qara Qarayev m.,4 otaqlı143 m²9/16 mərtəbə
152 000AZN,Həzi Aslanov m.,2 otaqlı52 m²5/15 mərtəbə
86 000AZN,Yeni Günəşli q.,2 otaqlı55 m²2/3 mərtəbə
637 640AZN,Ağ şəhər q.,2 otaqlı99 m²5/7 mərtəbə
298 656AZN,Nardaran q.,1 otaqlı54.9 m²2/7 mərtəbə
168 500AZN,Azadlıq Prospekti m.,3 otaqlı90 m²9/9 mərtəbə
600 000AZN,Səbail r.,4 otaqlı165.5 m²11/18 mərtəbə
145 000AZN,Həzi Aslanov m.,2 otaqlı68 m²4/17 mərtəbə
133 000AZN,Nəriman Nərimanov m.,2 otaqlı37 m²5/5 mərtəbə
150 000AZN,Həzi Aslanov m.,2 otaqlı92 m²16/17 mərtəbə
325 000AZN,Qara Qarayev m.,3 otaqlı137 m²4/16 mərtəbə
246 000AZN,İnşaatçılar m.,2 otaqlı90 m²12/17 mərtəbə
173 000AZN,Həzi Aslanov m.,3 otaqlı75 m²6/9 mərtəbə
567 000AZN,Ağ şəhər q.,3 otaqlı126 m²6/7 mərtəbə
175 000AZN,Nəriman Nərimanov m.,3 otaqlı65 m²1/5 mərtəbə
245 000AZN,Yasamal r.,4 otaqlı122 m²2/10 mərtəbə
150 000AZN,Nəriman Nərimanov m.,2 otaqlı45 m²3/5 mərtəbə
424 800AZN,Ağ şəhər q.,3 otaqlı118 m²2/8 mərtəbə
145 000AZN,Nəriman Nərimanov m.,2 otaqlı46 m²5/5 mərtəbə
162 000AZN,Elmlər Akademiyası m.,2 otaqlı60 m²4/4 mərtəbə
360 000AZN,Elmlər Akademiyası m.,3 otaqlı155 m²15/17 mərtəbə
475 000AZN,Elmlər Akademiyası m.,3 otaqlı140 m²9/17 mərtəbə
455 000AZN,Elmlər Akademiyası m.,3 otaqlı135 m²12/17 mərtəbə
255 000AZN,Elmlər Akademiyası m.,3 otaqlı84 m²4/5 mərtəbə
335 000AZN,Elmlər Akademiyası m.,5 otaqlı145 m²2/5 mərtəbə
248 000AZN,Bakıxanov q.,3 otaqlı92 m²5/12 mərtəbə
209 000AZN,28 May m.,2 otaqlı66 m²6/17 mərtəbə
83 000AZN,Masazır q.,3 otaqlı76 m²5/6 mərtəbə
345 000AZN,Nəsimi r.,3 otaqlı160 m²4/12 mərtəbə
265 000AZN,Elmlər Akademiyası m.,4 otaqlı105 m²5/5 mərtəbə
137 000AZN,Nəsimi r.,2 otaqlı50 m²2/5 mərtəbə
800 000AZN,Nizami m.,4 otaqlı224 m²8/24 mərtəbə
195 000AZN,Biləcəri q.,3 otaqlı112.4 m²3/15 mərtəbə
328 000AZN,Ağ şəhər q.,3 otaqlı83 m²7/7 mərtəbə
390 000AZN,Nəriman Nərimanov m.,4 otaqlı185 m²5/21 mərtəbə
375 000AZN,İçəri Şəhər m.,4 otaqlı140 m²4/16 mərtəbə
375 000AZN,Elmlər Akademiyası m.,2 otaqlı86 m²12/17 mərtəbə
605 000AZN,Gənclik m.,4 otaqlı200 m²5/12 mərtəbə
205 000AZN,Azadlıq Prospekti m.,3 otaqlı70 m²16/17 mərtəbə
66 500AZN,Masazır q.,3 otaqlı51 m²2/6 mərtəbə
230 000AZN,İnşaatçılar m.,3 otaqlı69 m²13/14 mərtəbə
335 000AZN,Nəriman Nərimanov m.,4 otaqlı130 m²4/8 mərtəbə
92 000AZN,Lökbatan q.,2 otaqlı65 m²1/5 mərtəbə
269 000AZN,Elmlər Akademiyası m.,3 otaqlı105 m²15/17 mərtəbə
138 000AZN,Əhmədli m.,2 otaqlı63 m²5/20 mərtəbə
280 000AZN,Həzi Aslanov m.,3 otaqlı126 m²12/19 mərtəbə
210 000AZN,Gənclik m.,2 otaqlı65 m²3/17 mərtəbə
144 000AZN,Xətai r.,2 otaqlı60 m²12/13 mərtəbə
650 000AZN,Nəriman Nərimanov m.,4 otaqlı181 m²3/17 mərtəbə
67 000AZN,Zabrat q.,3 otaqlı79 m²2/2 mərtəbə
110 000AZN,Köhnə Günəşli q.,2 otaqlı62 m²9/9 mərtəbə
118 500AZN,Əhmədli m.,3 otaqlı65 m²17/17 mərtəbə
245 000AZN,Həzi Aslanov m.,2 otaqlı86 m²2/16 mərtəbə
68 000AZN,Zabrat q.,2 otaqlı60 m²2/3 mərtəbə
420 000AZN,Nizami m.,4 otaqlı180 m²5/18 mərtəbə
756 000AZN,Ağ şəhər q.,4 otaqlı210 m²3/8 mərtəbə
153 000AZN,Həzi Aslanov m.,2 otaqlı57 m²12/17 mərtəbə
165 000AZN,20 Yanvar m.,2 otaqlı56 m²11/20 mərtəbə
245 000AZN,8 Noyabr m.,3 otaqlı88 m²11/18 mərtəbə
345 000AZN,Azadlıq Prospekti m.,4 otaqlı160 m²9/17 mərtəbə
1 100 000AZN,Sahil m.,6 otaqlı240 m²3/4 mərtəbə
330 000AZN,Şah İsmayıl Xətai m.,3 otaqlı130 m²15/20 mərtəbə
203 200AZN,Ağ şəhər q.,1 otaqlı50.8 m²8/8 mərtəbə
173 000AZN,Şah İsmayıl Xətai m.,2 otaqlı67 m²2/4 mərtəbə
95 000AZN,Saray q.,2 otaqlı71 m²8/14 mərtəbə
220 000AZN,20 Yanvar m.,3 otaqlı86 m²6/19 mərtəbə
240 000AZN,28 May m.,3 otaqlı100 m²5/5 mərtəbə
190 000AZN,20 Yanvar m.,3 otaqlı75 m²5/12 mərtəbə
133 000AZN,Xalqlar Dostluğu m.,2 otaqlı60 m²5/9 mərtəbə
625 000AZN,8 Noyabr m.,4 otaqlı232 m²10/16 mərtəbə
690 000AZN,Elmlər Akademiyası m.,5 otaqlı242 m²10/17 mərtəbə
150 000AZN,20 Yanvar m.,2 otaqlı48 m²20/20 mərtəbə
113 000AZN,Xalqlar Dostluğu m.,2 otaqlı55 m²1/5 mərtəbə
57 500AZN,Masazır q.,2 otaqlı35 m²1/6 mərtəbə
145 000AZN,Xalqlar Dostluğu m.,3 otaqlı76 m²5/9 mərtəbə
255 000AZN,Həzi Aslanov m.,4 otaqlı119 m²3/16 mərtəbə
209 000AZN,Şah İsmayıl Xətai m.,3 otaqlı106 m²2/4 mərtəbə
140 000AZN,Xətai r.,2 otaqlı71 m²9/18 mərtəbə
340 000AZN,Şah İsmayıl Xətai m.,3 otaqlı111 m²6/18 mərtəbə
244 000AZN,Xətai r.,3 otaqlı88 m²10/19 mərtəbə
155 000AZN,28 May m.,2 otaqlı55 m²2/4 mərtəbə
155 000AZN,Xalqlar Dostluğu m.,2 otaqlı62 m²11/16 mərtəbə
174 460AZN,Koroğlu m.,2 otaqlı79.3 m²4/16 mərtəbə
168 000AZN,20 Yanvar m.,2 otaqlı50 m²4/20 mərtəbə
176 000AZN,Koroğlu m.,2 otaqlı79.3 m²10/16 mərtəbə
125 000AZN,20 Yanvar m.,1 otaqlı47 m²20/20 mərtəbə
63 500AZN,Masazır q.,2 otaqlı60 m²6/6 mərtəbə
410 000AZN,Nəriman Nərimanov m.,4 otaqlı320 m²16/16 mərtəbə
153 000AZN,İnşaatçılar m.,2 otaqlı64 m²6/17 mərtəbə
670 000AZN,Nərimanov r.,4 otaqlı200 m²11/16 mərtəbə
395 000AZN,28 May m.,3 otaqlı110 m²12/15 mərtəbə
103 000AZN,Əhmədli m.,2 otaqlı50 m²9/9 mərtəbə
150 000AZN,Nəsimi m.,3 otaqlı65 m²1/5 mərtəbə
260 000AZN,Nəriman Nərimanov m.,2 otaqlı108 m²2/16 mərtəbə
430 000AZN,Şah İsmayıl Xətai m.,4 otaqlı130 m²5/12 mərtəbə
215 000AZN,Nizami m.,3 otaqlı85 m²5/5 mərtəbə
257 000AZN,Xətai r.,3 otaqlı130 m²10/20 mərtəbə
370 000AZN,28 May m.,3 otaqlı140 m²14/16 mərtəbə
130 000AZN,Memar Əcəmi m.,3 otaqlı103 m²11/11 mərtəbə
125 000AZN,Gənclik m.,2 otaqlı35 m²5/5 mərtəbə
285 000AZN,Nizami m.,3 otaqlı120 m²3/15 mərtəbə
229 000AZN,Yeni Yasamal q.,3 otaqlı135 m²7/14 mərtəbə
233 000AZN,Həzi Aslanov m.,3 otaqlı126 m²14/19 mərtəbə
52 500AZN,Masazır q.,2 otaqlı55 m²5/6 mərtəbə
99 000AZN,Neftçilər m.,2 otaqlı55 m²5/5 mərtəbə
305 000AZN,Gənclik m.,3 otaqlı140 m²10/16 mərtəbə
215 000AZN,20 Yanvar m.,3 otaqlı75 m²8/20 mərtəbə
222 000AZN,Həzi Aslanov q.,3 otaqlı119 m²18/21 mərtəbə
147 500AZN,Nərimanov r.,2 otaqlı59 m²8/16 mərtəbə
530 000AZN,Şah İsmayıl Xətai m.,3 otaqlı124 m²6/7 mərtəbə
186 000AZN,Əhmədli m.,3 otaqlı85 m²2/9 mərtəbə
169 000AZN,Şah İsmayıl Xətai m.,1 otaqlı60 m²12/16 mərtəbə
499 999AZN,Səbail r.,4 otaqlı145 m²7/9 mərtəbə
199 000AZN,Həzi Aslanov q.,3 otaqlı91 m²13/14 mərtəbə
255 000AZN,Yeni Yasamal q.,3 otaqlı117 m²10/12 mərtəbə
124 500AZN,Yasamal r.,2 otaqlı48 m²4/16 mərtəbə
310 233AZN,Nardaran q.,1 otaqlı55.3 m²4/7 mərtəbə
398 000AZN,Gənclik m.,3 otaqlı109.1 m²16/20 mərtəbə
550 000AZN,28 May m.,4 otaqlı208 m²16/21 mərtəbə
81 000AZN,Massiv V q.,2 otaqlı40 m²9/9 mərtəbə
315 000AZN,8 Noyabr m.,3 otaqlı148 m²22/27 mərtəbə
297 000AZN,Nərimanov r.,3 otaqlı110 m²3/14 mərtəbə
120 000AZN,Bayıl q.,2 otaqlı40 m²1/1 mərtəbə
450 000AZN,Nəsimi r.,5 otaqlı238 m²16/16 mərtəbə
575 000AZN,Nəsimi r.,2 otaqlı85 m²8/30 mərtəbə
250 000AZN,Nərimanov r.,3 otaqlı97 m²15/17 mərtəbə
208 000AZN,Neftçilər m.,3 otaqlı88 m²11/14 mərtəbə
205 000AZN,Şah İsmayıl Xətai m.,2 otaqlı68 m²6/21 mərtəbə
167 000AZN,Qara Qarayev m.,2 otaqlı57 m²15/16 mərtəbə
240 000AZN,Həzi Aslanov m.,5 otaqlı130 m²3/5 mərtəbə
168 000AZN,Əhmədli m.,3 otaqlı75 m²5/9 mərtəbə
80 000AZN,Ceyranbatan q.,3 otaqlı60 m²3/5 mərtəbə
120 000AZN,Memar Əcəmi m.,2 otaqlı55 m²4/5 mərtəbə
385 000AZN,Həzi Aslanov m.,5 otaqlı322 m²17/17 mərtəbə
310 000AZN,8 Noyabr m.,4 otaqlı100 m²5/15 mərtəbə
269 000AZN,Nəriman Nərimanov m.,2 otaqlı76 m²9/16 mərtəbə
140 000AZN,20 Yanvar m.,2 otaqlı45 m²7/19 mərtəbə
220 000AZN,Nəsimi r.,2 otaqlı72 m²12/17 mərtəbə
195 000AZN,9-cu mikrorayon q.,3 otaqlı73 m²17/19 mərtəbə
262 000AZN,8 Noyabr m.,2 otaqlı106.6 m²22/27 mərtəbə
115 000AZN,28 May m.,2 otaqlı40 m²2/2 mərtəbə
260 000AZN,İnşaatçılar m.,3 otaqlı150 m²17/18 mərtəbə
195 000AZN,Azadlıq Prospekti m.,3 otaqlı85.5 m²8/10 mərtəbə
52 500AZN,Masazır q.,2 otaqlı55 m²5/6 mərtəbə
120 000AZN,Elmlər Akademiyası m.,2 otaqlı43 m²10/12 mərtəbə
130 000AZN,Nizami m.,2 otaqlı50 m²5/5 mərtəbə
127 000AZN,Memar Əcəmi m.,3 otaqlı60 m²4/5 mərtəbə
188 000AZN,Qara Qarayev m.,2 otaqlı70 m²16/18 mərtəbə
285 000AZN,Şah İsmayıl Xətai m.,3 otaqlı120 m²3/16 mərtəbə
205 000AZN,Qara Qarayev m.,3 otaqlı80 m²12/17 mərtəbə
190 000AZN,Yeni Yasamal q.,3 otaqlı96 m²4/12 mərtəbə
350 000AZN,8 Noyabr m.,4 otaqlı180 m²9/17 mərtəbə
174 000AZN,Nəsimi r.,3 otaqlı87 m²4/4 mərtəbə
635 000AZN,Şah İsmayıl Xətai m.,4 otaqlı251 m²8/10 mərtəbə
200 000AZN,Qara Qarayev m.,3 otaqlı92 m²6/16 mərtəbə
387 000AZN,Nizami m.,3 otaqlı132 m²14/16 mərtəbə
299 000AZN,28 May m.,3 otaqlı98 m²3/17 mərtəbə
750 000AZN,Nizami m.,5 otaqlı234 m²8/16 mərtəbə
210 000AZN,Nəriman Nərimanov m.,2 otaqlı63 m²3/16 mərtəbə
370 000AZN,Elmlər Akademiyası m.,2 otaqlı123.5 m²7/16 mərtəbə
250 000AZN,Nəsimi m.,3 otaqlı119 m²7/17 mərtəbə
600 000AZN,Şıxov q.,5 otaqlı600 m²5/5 mərtəbə
73 000AZN,Masazır q.,4 otaqlı90 m²6/6 mərtəbə
350 000AZN,20 Yanvar m.,4 otaqlı160 m²6/19 mərtəbə
255 000AZN,Nəriman Nərimanov m.,2 otaqlı97 m²2/16 mərtəbə
400 000AZN,Bakmil m.,3 otaqlı130 m²4/15 mərtəbə
220 000AZN,Neftçilər m.,3 otaqlı86 m²14/17 mərtəbə
160 000AZN,Neftçilər m.,2 otaqlı70 m²16/19 mərtəbə
240 000AZN,İnşaatçılar m.,3 otaqlı120 m²11/18 mərtəbə
170 000AZN,Qara Qarayev m.,2 otaqlı60 m²9/14 mərtəbə
285 000AZN,8 Noyabr m.,3 otaqlı130 m²4/18 mərtəbə
110 000AZN,Masazır q.,3 otaqlı90 m²3/7 mərtəbə
75 000AZN,Masazır q.,3 otaqlı56 m²3/6 mərtəbə
210 000AZN,Nəriman Nərimanov m.,2 otaqlı66 m²10/17 mərtəbə
400 000AZN,Nəriman Nərimanov m.,4 otaqlı184 m²14/16 mərtəbə
238 000AZN,Nəriman Nərimanov m.,2 otaqlı87 m²8/16 mərtəbə
210 000AZN,Bayıl q.,2 otaqlı78 m²11/16 mərtəbə
139 000AZN,Qaraçuxur q.,2 otaqlı70 m²3/14 mərtəbə
105 000AZN,Memar Əcəmi m.,1 otaqlı46 m²2/5 mərtəbə
192 900AZN,Nəsimi m.,2 otaqlı93 m²14/18 mərtəbə
335 000AZN,Nəsimi r.,3 otaqlı150 m²4/17 mərtəbə
410 000AZN,Şah İsmayıl Xətai m.,3 otaqlı157 m²13/24 mərtəbə
385 000AZN,Nəsimi r.,3 otaqlı140 m²4/18 mərtəbə
197 000AZN,İnşaatçılar m.,3 otaqlı56 m²12/15 mərtəbə
300 000AZN,İnşaatçılar m.,3 otaqlı130 m²3/18 mərtəbə
185 000AZN,8 Noyabr m.,3 otaqlı85 m²8/10 mərtəbə
155 000AZN,Neftçilər m.,2 otaqlı65 m²7/18 mərtəbə
297 000AZN,Gənclik m.,3 otaqlı110 m²8/16 mərtəbə
358 000AZN,28 May m.,3 otaqlı125 m²12/16 mərtəbə
130 000AZN,Nərimanov r.,1 otaqlı40 m²3/5 mərtəbə
525 000AZN,Nəriman Nərimanov m.,4 otaqlı202 m²5/17 mərtəbə
128 900AZN,Səbail r.,2 otaqlı55 m²4/4 mərtəbə
189 000AZN,Nəsimi r.,2 otaqlı60 m²7/16 mərtəbə
299 999AZN,Səbail r.,3 otaqlı110 m²9/10 mərtəbə
580 000AZN,Şah İsmayıl Xətai m.,3 otaqlı143 m²11/17 mərtəbə
53 000AZN,Səbail r.,2 otaqlı65 m²2/2 mərtəbə
365 000AZN,Şah İsmayıl Xətai m.,3 otaqlı157 m²11/24 mərtəbə
354 000AZN,Nəriman Nərimanov m.,3 otaqlı130 m²7/16 mərtəbə
385 000AZN,8 Noyabr m.,3 otaqlı137 m²5/12 mərtəbə
125 000AZN,Həzi Aslanov m.,2 otaqlı55 m²9/9 mərtəbə
165 000AZN,Azadlıq Prospekti m.,2 otaqlı65 m²15/17 mərtəbə
225 000AZN,Nizami m.,2 otaqlı90 m²9/9 mərtəbə
194 000AZN,Xətai r.,2 otaqlı82 m²10/19 mərtəbə
280 000AZN,İnşaatçılar m.,3 otaqlı124 m²17/18 mərtəbə
398 000AZN,Nəsimi r.,3 otaqlı167 m²8/19 mərtəbə
220 000AZN,Nərimanov r.,3 otaqlı70 m²14/15 mərtəbə
120 000AZN,M.Ə.Rəsulzadə q.,2 otaqlı55 m²2/4 mərtəbə
322 000AZN,Memar Əcəmi m.,3 otaqlı145 m²2/16 mərtəbə
145 000AZN,Həzi Aslanov m.,2 otaqlı65 m²10/16 mərtəbə
215 000AZN,20 Yanvar m.,3 otaqlı75 m²8/20 mərtəbə
96 000AZN,Bakıxanov q.,2 otaqlı50 m²1/3 mərtəbə
290 000AZN,Ağ şəhər q.,3 otaqlı119.3 m²15/20 mərtəbə
248 000AZN,Nizami m.,2 otaqlı100 m²16/17 mərtəbə
113 000AZN,Bakıxanov q.,2 otaqlı60 m²8/9 mərtəbə
229 000AZN,Nəriman Nərimanov m.,3 otaqlı100 m²12/16 mərtəbə
590 000AZN,Gənclik m.,4 otaqlı200 m²5/12 mərtəbə
160 000AZN,Memar Əcəmi m.,3 otaqlı65 m²4/5 mərtəbə
135 000AZN,20 Yanvar m.,2 otaqlı48 m²18/20 mərtəbə
310 000AZN,8 Noyabr m.,3 otaqlı98 m²14/17 mərtəbə
187 000AZN,Memar Əcəmi m.,2 otaqlı85 m²5/18 mərtəbə
550 000AZN,8 Noyabr m.,4 otaqlı168 m²24/27 mərtəbə
244 000AZN,Həzi Aslanov m.,3 otaqlı91 m²5/15 mərtəbə
188 000AZN,Yasamal r.,3 otaqlı130 m²4/14 mərtəbə
510 000AZN,8 Noyabr m.,3 otaqlı145 m²10/27 mərtəbə
135 000AZN,İnşaatçılar m.,3 otaqlı55 m²8/11 mərtəbə
560 000AZN,28 May m.,4 otaqlı217 m²14/17 mərtəbə
86 000AZN,Masazır q.,5 otaqlı150 m²6/6 mərtəbə
562 600AZN,Nəsimi r.,4 otaqlı194 m²6/16 mərtəbə
265 000AZN,Qara Qarayev m.,3 otaqlı104 m²18/19 mərtəbə
392 000AZN,Ağ şəhər q.,2 otaqlı74.1 m²5/5 mərtəbə
343 000AZN,Şah İsmayıl Xətai m.,3 otaqlı156 m²13/24 mərtəbə
86 000AZN,Abşeron r.,2 otaqlı55 m²14/16 mərtəbə
270 000AZN,Yasamal r.,3 otaqlı137 m²4/20 mərtəbə
265 000AZN,Şah İsmayıl Xətai m.,2 otaqlı80 m²11/17 mərtəbə
170 000AZN,Memar Əcəmi m.,3 otaqlı85 m²8/9 mərtəbə
210 000AZN,Gənclik m.,2 otaqlı62 m²3/16 mərtəbə
258 000AZN,Binəqədi r.,3 otaqlı90 m²8/14 mərtəbə
269 000AZN,28 May m.,2 otaqlı70.8 m²8/16 mərtəbə
78 000AZN,Masazır q.,3 otaqlı67 m²7/11 mərtəbə
475 000AZN,8 Noyabr m.,4 otaqlı177 m²13/24 mərtəbə
85 000AZN,Masazır q.,3 otaqlı73 m²2/6 mərtəbə
210 000AZN,Nəriman Nərimanov m.,3 otaqlı70 m²6/6 mərtəbə
157 500AZN,Nəsimi m.,2 otaqlı62 m²12/22 mərtəbə
330 000AZN,Memar Əcəmi m.,3 otaqlı120 m²6/17 mərtəbə
118 000AZN,Binəqədi r.,2 otaqlı42 m²2/9 mərtəbə
184 000AZN,20 Yanvar m.,2 otaqlı74 m²8/20 mərtəbə
216 000AZN,20 Yanvar m.,2 otaqlı85 m²4/8 mərtəbə
125 000AZN,20 Yanvar m.,2 otaqlı47 m²2/16 mərtəbə
165 000AZN,Xalqlar Dostluğu m.,2 otaqlı78 m²5/19 mərtəbə
350 000AZN,Nizami m.,3 otaqlı160 m²2/10 mərtəbə
137 000AZN,20 Yanvar m.,2 otaqlı47 m²11/20 mərtəbə
345 000AZN,Səbail r.,5 otaqlı137 m²5/5 mərtəbə
113 000AZN,Masazır q.,3 otaqlı90 m²5/11 mərtəbə
137 000AZN,Neftçilər m.,2 otaqlı52 m²3/14 mərtəbə
85 000AZN,Həzi Aslanov m.,2 otaqlı44 m²12/13 mərtəbə
220 000AZN,Nərimanov r.,2 otaqlı70 m²10/17 mərtəbə
203 000AZN,20 Yanvar m.,3 otaqlı90 m²16/20 mərtəbə
195 000AZN,Biləcəri q.,3 otaqlı112.4 m²3/15 mərtəbə
360 000AZN,28 May m.,3 otaqlı120 m²3/16 mərtəbə
225 000AZN,Şah İsmayıl Xətai m.,3 otaqlı80 m²12/16 mərtəbə
46 500AZN,Masazır q.,2 otaqlı42 m²8/8 mərtəbə
191 000AZN,İnşaatçılar m.,2 otaqlı56.3 m²9/14 mərtəbə
197 200AZN,İnşaatçılar m.,2 otaqlı58 m²4/14 mərtəbə
205 000AZN,İnşaatçılar m.,3 otaqlı70 m²1/16 mərtəbə
159 800AZN,İnşaatçılar m.,2 otaqlı47 m²6/14 mərtəbə
419 000AZN,Nəsimi r.,3 otaqlı130 m²12/18 mərtəbə
220 000AZN,Şah İsmayıl Xətai m.,2 otaqlı58 m²4/18 mərtəbə
340 000AZN,Xalqlar Dostluğu m.,4 otaqlı240 m²15/18 mərtəbə
145 000AZN,Əhmədli m.,3 otaqlı75 m²3/18 mərtəbə
565 500AZN,28 May m.,4 otaqlı195 m²10/17 mərtəbə
290 000AZN,Gənclik m.,3 otaqlı145 m²12/17 mərtəbə
262 000AZN,Həzi Aslanov m.,3 otaqlı130 m²6/19 mərtəbə
106 000AZN,Xalqlar Dostluğu m.,1 otaqlı40 m²3/5 mərtəbə
177 000AZN,İnşaatçılar m.,2 otaqlı52 m²18/19 mərtəbə
225 000AZN,Nizami m.,2 otaqlı70 m²4/4 mərtəbə
145 000AZN,Xalqlar Dostluğu m.,3 otaqlı80 m²5/9 mərtəbə
294 000AZN,Şah İsmayıl Xətai m.,2 otaqlı90.5 m²5/20 mərtəbə
97 500AZN,Xalqlar Dostluğu m.,2 otaqlı32 m²3/5 mərtəbə
140 000AZN,Xətai r.,2 otaqlı54 m²10/16 mərtəbə
330 000AZN,Nərimanov r.,3 otaqlı107 m²14/17 mərtəbə
137 000AZN,Xalqlar Dostluğu m.,3 otaqlı60 m²7/9 mərtəbə
425 000AZN,Nəsimi r.,4 otaqlı176 m²13/16 mərtəbə
288 750AZN,Bayıl q.,2 otaqlı82.5 m²10/17 mərtəbə
880 000AZN,Ağ şəhər q.,4 otaqlı185 m²12/20 mərtəbə
677 600AZN,Sahil m.,4 otaqlı176 m²10/12 mərtəbə
196 000AZN,Neftçilər m.,3 otaqlı87.8 m²2/14 mərtəbə
98 000AZN,Memar Əcəmi m.,2 otaqlı48 m²3/5 mərtəbə
130 000AZN,Qara Qarayev m.,2 otaqlı56 m²5/5 mərtəbə
180 000AZN,28 May m.,2 otaqlı64 m²18/18 mərtəbə
220 000AZN,20 Yanvar m.,3 otaqlı95 m²10/19 mərtəbə
64 000AZN,Masazır q.,2 otaqlı48 m²6/7 mərtəbə
265 000AZN,Qara Qarayev m.,3 otaqlı104 m²18/19 mərtəbə
275 000AZN,Şah İsmayıl Xətai m.,3 otaqlı100 m²2/4 mərtəbə
285 000AZN,Gənclik m.,2 otaqlı83 m²12/16 mərtəbə
160 000AZN,Xalqlar Dostluğu m.,4 otaqlı95 m²5/5 mərtəbə
310 000AZN,Əhmədli m.,5 otaqlı164 m²7/13 mərtəbə
130 000AZN,Sahil m.,2 otaqlı31 m²3/3 mərtəbə
368 000AZN,8-ci mikrorayon q.,3 otaqlı152 m²14/17 mərtəbə
175 000AZN,Xalqlar Dostluğu m.,3 otaqlı85 m²6/9 mərtəbə
350 000AZN,Nizami m.,3 otaqlı118.3 m²7/17 mərtəbə
365 000AZN,Nəsimi r.,3 otaqlı146 m²6/18 mərtəbə
150 000AZN,Nəsimi m.,2 otaqlı70 m²15/17 mərtəbə
163 000AZN,Həzi Aslanov m.,2 otaqlı70 m²8/17 mərtəbə
329 000AZN,Nəriman Nərimanov m.,3 otaqlı106 m²11/15 mərtəbə
115 000AZN,Xalqlar Dostluğu m.,2 otaqlı45 m²2/9 mərtəbə
93 000AZN,Nizami m.,1 otaqlı37 m²5/14 mərtəbə
389 000AZN,28 May m.,3 otaqlı118 m²6/16 mərtəbə
34 000AZN,Binəqədi q.,2 otaqlı42 m²3/4 mərtəbə
215 000AZN,Qara Qarayev m.,3 otaqlı95 m²8/17 mərtəbə
358 000AZN,8 Noyabr m.,3 otaqlı126 m²9/16 mərtəbə
285 000AZN,İnşaatçılar m.,4 otaqlı160 m²16/17 mərtəbə
550 000AZN,Xətai r.,3 otaqlı100 m²3/7 mərtəbə
159 000AZN,Nizami r.,2 otaqlı107 m²5/18 mərtəbə
92 000AZN,Masazır q.,3 otaqlı83 m²1/6 mərtəbə
100 000AZN,Azadlıq Prospekti m.,3 otaqlı126 m²3/17 mərtəbə
385 000AZN,8 Noyabr m.,3 otaqlı130 m²12/17 mərtəbə
175 000AZN,8 Noyabr m.,2 otaqlı69 m²4/18 mərtəbə
